'19','12-12-2011 11:03:14','nl',,'12-12-2011 11:03:14','12-12-2011 10:29:22','81.30.37.37','-','11','39',,,,,'7.8',,,,,,,,,,,,'4.4','5.6',,,,,,,,,,'5.5','7.8','5.1',,,,,,,'4',,,,,,,,,,'5.8','7.4',,,,,,,,,,'5','4.5','7.3',,,,,,,,,,,,,,'3.2',,,,,,,,,'7.2','6.3',,,,,,,'5.1','6.3','4.9',,,,,,,,,,,,,,,,,,,'6',,,,,,,,,,,,,'7.7','6',,,,,,,,,,,,,'6.4','6','4.7',,,,'4',,
'20','12-12-2011 12:29:56','nl',,'12-12-2011 12:29:56','12-12-2011 12:05:15','212.123.200.82','-','12','22',,,,,,'2','5.5','2',,,,,,,,,,,,,,,,,,,,,,,'2','5.5','9',,,,,'3.5',,,,,,,,,,,'7','2',,,,,,,,,,,'2','7.5','9',,,,,,,,,,,'2',,,,,,,,,'6','2',,,,,,,'8','4.5','6.7',,,,,,,,,,,,,,,,,,,'5',,,,,,,,,,,,,'8.5','2',,,,,,,,,,,,,'2','5','9',,,,'3',,
'21','12-12-2011 15:25:39','nl',,'12-12-2011 15:25:39','12-12-2011 15:07:32','193.173.48.18','-','1','54','8',,,,,,,,'6','6',,,,,,,,,,,,,,,,,,,,,,,,'7','6','10',,,'2.3',,,,,,,,,,,,'6.5','6',,,,,,,,,,,,'8','6.7','4',,,,,,,'6.2',,,,,,,,'3.5','6.5',,,,,,,,,,,,,,,,,,,,,,,,'4.1','2.1','8.8',,,'2.2',,,,,,,,,,,,'2','2.9',,,,,,,,,,,,'5.4','5.6','5.4',,,,,,,'-oth-','KNGF Geleidehonden',
'22','12-12-2011 15:51:26','nl',,'12-12-2011 15:51:26','12-12-2011 15:31:21','178.85.159.184','-','2','52',,'3.5',,,,,,,,,'4.5','7',,,,,,,'5.5','4','8',,,,,,,,,,,,,,,,,,,'2',,,,,,,,,,,,,'2.5','7.5',,,,,,,,,,,,,'4','5','7',,,,'5',,,,,,,,'2.5','7',,,,,,,,,,,,,,,,,,,,,,,,'5.5','2.5','7.5',,,'3',,,,,,,,,,,,'4','7',,,,,,,,,,,,'4','7.5','4',,,,,,,'7',,
'23','12-12-2011 21:13:22','nl',,'12-12-2011 21:13:22','12-12-2011 21:01:50','80.61.68.187','-','3','50',,,'5.7',,,,,,,,,,'6.4','7.2',,,,,,,,'7.3','6.1','7',,,,,,,,,,,,,,,,,'3.4',,'5.3','7.5',,,,,,,,,,,,,,,,,,,,,,,,,,'6.5','5.6','8.8','8.2',,,,,,,,'6.3','6.8',,,,,,,,,,,,,,,,,,,,,,,,'7','6','8.2',,,'7.4',,,,,,,,,,,,'6.3','7',,,,,,,,,,,,'6','7.6','6.5',,,,,,,'6',,
'24',,'nl',,'13-12-2011 12:52:54','13-12-2011 12:52:54','213.208.213.5','-','4','29',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'25','13-12-2011 16:10:29','nl',,'13-12-2011 16:10:29','13-12-2011 16:02:59','212.104.214.35','-','5','27',,,,,'7',,,,,,,,,,,,'2.8','8.5',,,,,,,,,,'7.5','5','2',,,,,,,'2',,,,,,,,,,'2.5','5',,,,,,,,,,'2','5','8.5',,,,,,,,,,,,,'4',,,,,,,,'3','6.5',,,,,,,,,,,,,,,,,,,,,,,,'5.5','2.1','8',,,'3.5',,,,,,,,,,,,'2','2',,,,,,,,,,,,'3','8.5','6',,,,,,,'11',,
'26','14-12-2011 08:53:22','nl',,'14-12-2011 08:53:22','14-12-2011 08:40:46','83.85.22.86','-','6','40',,,,,,'4.5','5.6','6.3',,,,,,,,,,,,,,,,,,,,,,,'6.3','6.2','6.2',,,,,'5.5',,,,,,,,,,,'6','6',,,,,,,,,,,'6','6.5','7.5',,,,,,,,,,'6.6',,,,,,,,'5.5','7',,,,,,,,,,,,,,,,,,,,,,,,'6.2','5','8',,,'6',,,,,,,,,,,,'6.9','6.6',,,,,,,,,,,,'6','7','5.2',,,,,,,'8',,
'27','14-12-2011 15:11:14','nl',,'14-12-2011 15:11:14','14-12-2011 09:40:16','217.114.102.193','-','7','57','7.5',,,,,,,,'4.5','7',,,,,,,,,,,,,,,,,,,,,,,,'6.5','4','7.5',,,'6.5',,,,,,,,,,,,'6.5','7.5',,,,,,,,,,,,'6','4','5',,,,,,,,'4.5',,,,,,,,,'7.5','7',,,,,,,'7','8','7',,,,,,,,,,,,,,,,,,,'6.5',,,,,,,,,,,,,'7','4.5',,,,,,,,,,,,,'5','6','6.5',,,,'13',,
'28','14-12-2011 10:31:38','nl',,'14-12-2011 10:31:38','14-12-2011 10:19:52','46.129.125.172','-','8','41',,'7.5',,,,,,,,,'8','6.5',,,,,,,'6.2','6.9','7.5',,,,,,,,,,,,,,,,,,,'6.1',,,,,,,,,,,,,'6.5','7.4',,,,,,,,,,,,,'6.1','7','7.5',,,,,'5.6',,,,,,,,,'5.6','5.7',,,,,,,'6','6','6.5',,,,,,,,,,,,,,,,,,,'7.5',,,,,,,,,,,,,'6','6.5',,,,,,,,,,,,,'5.9','7.1','7.5',,,,'8',,
