'59','05-01-2012 11:09:41','nl',,'05-01-2012 11:09:41','05-01-2012 10:59:44','92.67.145.138','-','3','85',,,'2.2',,,,,,,,,,'8.1','2',,,,,,,,'2.3','8.2','8.3',,,,,,,,,,,,,,,,,'8',,'8.2','3',,,,,,,,,,,,,,,,,,,,,,,,,,'7.6','2','9.5','4.2',,,,,,,,'1.8','7.7',,,,,,,,,,,,,,,,,,,,,,,,'8.2','2.2','9.6',,,'2.7',,,,,,,,,,,,'2.7','2.4',,,,,,,,,,,,'6.4','9','3.4',,,,,,,'-oth-','mama cash',
'60','05-01-2012 11:58:39','nl',,'05-01-2012 11:58:39','05-01-2012 11:43:42','188.204.182.254','-','4','98',,,,'3',,,,,,,,,,,'6.5','5.6',,,,,,,,,'4.7','3.5','7',,,,,,,,,,,,,,,'5.2',,,'4.7','8',,,,,,,,,'7','4.1','5.6',,,,,,,,,,,,,,,,'5.6',,,,,,,,'5.1','7',,,,,,,,,,,,,,,,,,,,,,,,'6.9','4.3','7.5',,,'3.1',,,,,,,,,,,,'3.4','4.2',,,,,,,,,,,,'5','7.5','6.5',,,,,,,'8',,
'61','05-01-2012 14:00:44','nl',,'05-01-2012 14:00:44','05-01-2012 12:59:53','77.167.154.173','-','5','82',,,,,'7',,,,,,,,,,,,'6.1','8.5',,,,,,,,,,'6','7','8',,,,,,,'6',,,,,,,,,,'5.5','7',,,,,,,,,,'5','6','7',,,,,,,,,,,,,'8',,,,,,,,'6','7',,,,,,,,,,,,,,,,,,,,,,,,'6','6','8',,,'6.5',,,,,,,,,,,,'7','6',,,,,,,,,,,,'6','8','5',,,,,,,'4',,
'62','06-01-2012 11:30:28','nl',,'06-01-2012 11:30:28','05-01-2012 23:42:15','87.233.151.2','-','6','33',,,,,,'7.4','6.5','7.5',,,,,,,,,,,,,,,,,,,,,,,'7.5','6.5','5',,,,,'5.5',,,,,,,,,,,'7','5',,,,,,,,,,,'7','6','5.5',,,,,,,,,,'7.5',,,,,,,,'6','7.5',,,,,,,,,,,,,,,,,,,,,,,,'6.5','6.5','8',,,'5',,,,,,,,,,,,'6.5','7.5',,,,,,,,,,,,'6','8','7',,,,,,,'8',,
'63','06-01-2012 13:38:11','nl',,'06-01-2012 13:38:11','06-01-2012 13:25:42','82.161.143.243','-','7','94','4.6',,,,,,,,'4.3','7.1',,,,,,,,,,,,,,,,,,,,,,,,'6.3','4.6','8',,,'6.3',,,,,,,,,,,,'5.6','6.7',,,,,,,,,,,,'8.7','7.5','4.4',,,,,,,,'4.3',,,,,,,,,'8.6','6.7',,,,,,,'6.3','5','7.9',,,,,,,,,,,,,,,,,,,'4.3',,,,,,,,,,,,,'6.3','5.2',,,,,,,,,,,,,'4.1','5.5','7.7',,,,'-oth-','XminY',
'64','06-01-2012 13:48:23','nl',,'06-01-2012 13:48:23','06-01-2012 13:39:22','85.90.69.35','-','1','66','3.2',,,,,,,,'5.1','7.3',,,,,,,,,,,,,,,,,,,,,,,,'6.1','3.8','7.7',,,'3',,,,,,,,,,,,'5.3','6.7',,,,,,,,,,,,'7.5','6.4','4.2',,,,,,,'7.5',,,,,,,,'4.4','6.7',,,,,,,,,,,,,,,,,,,,,,,,'6.9','5.2','7.5',,,'2.9',,,,,,,,,,,,'6','5.2',,,,,,,,,,,,'6.3','7.5','5.8',,,,,,,'13',,
'65','06-01-2012 23:12:41','nl',,'06-01-2012 23:12:41','06-01-2012 22:51:27','82.75.210.166','-','9','115',,,'7',,,,,,,,,,'6.5','6',,,,,,,,'7.5','7','8',,,,,,,,,,,,,,,,,'6.5',,'6.5','8',,,,,,,,,,,,,,,,,,,,,,,,,,'7','6','8',,'4',,,,,,,,,'6.1','8',,,,,,,'7','6','8',,,,,,,,,,,,,,,,,,,'8.5',,,,,,,,,,,,,'8','8',,,,,,,,,,,,,'6.5','8','7',,,,'-oth-','Green Peace',
'66','07-01-2012 13:33:47','nl',,'07-01-2012 13:33:47','07-01-2012 12:51:46','83.160.74.239','-','9','83',,,'2.9',,,,,,,,,,'2.3','2',,,,,,,,'5','8.5','8.5',,,,,,,,,,,,,,,,,'3.9',,'2.8','1.8',,,,,,,,,,,,,,,,,,,,,,,,,,'5.4','2','7.3',,'3.8',,,,,,,,,'2.5','3',,,,,,,'7','5.4','6.8',,,,,,,,,,,,,,,,,,,'2.8',,,,,,,,,,,,,'6.5','2.5',,,,,,,,,,,,,'2.2','2.6','8.3',,,,'10',,
'67','08-01-2012 18:01:25','nl',,'08-01-2012 18:01:25','08-01-2012 17:32:28','131.224.251.103','-','11','106',,,,,'7.5',,,,,,,,,,,,'3.3','8.2',,,,,,,,,,'8','7.5','2.6',,,,,,,'1',,,,,,,,,,'3.3','8',,,,,,,,,,'1','6.6','8.7',,,,,,,,,,,,,,'2.6',,,,,,,,,'8.1','1.9',,,,,,,'8.3','3.7','6.1',,,,,,,,,,,,,,,,,,,'2.5',,,,,,,,,,,,,'8.2','2.2',,,,,,,,,,,,,'5.2','3.9','8.3',,,,'3',,
'68','08-01-2012 23:24:31','nl',,'08-01-2012 23:24:31','08-01-2012 23:08:53','62.21.138.106','-','12','80',,,,,,'1','6.5','1',,,,,,,,,,,,,,,,,,,,,,,'2','4.1','8',,,,,'1',,,,,,,,,,,'7','1.4',,,,,,,,,,,'1.7','5','8',,,,,,,,,,,'1.3',,,,,,,,,'1','2',,,,,,,'8','5.6','5.6',,,,,,,,,,,,,,,,,,,'4',,,,,,,,,,,,,'8','2',,,,,,,,,,,,,'4.9','5.5','9.5',,,,'6',,
'69',,'nl',,'09-01-2012 13:01:11','09-01-2012 13:01:11','92.67.145.138','-','1','99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'70','09-01-2012 15:33:28','nl',,'09-01-2012 15:33:28','09-01-2012 15:09:46','62.41.69.30','-','2','113',,'7.3',,,,,,,,,'7.8','7.2',,,,,,,'6.7','7.5','8',,,,,,,,,,,,,,,,,,,'6',,,,,,,,,,,,,'6.5','7.6',,,,,,,,,,,,,'6.1','7.4','5.2',,,,'4.8',,,,,,,,'5.1','7.8',,,,,,,,,,,,,,,,,,,,,,,,'7','5.8','6.6',,,'6.6',,,,,,,,,,,,'6.5','7.5',,,,,,,,,,,,'7','7.5','6.1',,,,,,,'6',,
'71','09-01-2012 16:57:16','nl',,'09-01-2012 16:57:16','09-01-2012 16:39:30','213.10.3.16','-','3','69',,,'1',,,,,,,,,,'10','1',,,,,,,,'1','8','10',,,,,,,,,,,,,,,,,'10',,'8','1',,,,,,,,,,,,,,,,,,,,,,,,,,'4','1','10','1',,,,,,,,'1','10',,,,,,,,,,,,,,,,,,,,,,,,'8','1','10',,,'1',,,,,,,,,,,,'1','1',,,,,,,,,,,,'1','10','1',,,,,,,'1',,
'72','10-01-2012 10:10:23','nl',,'10-01-2012 10:10:23','10-01-2012 08:58:02','156.83.1.251','-','4','93',,,,'3',,,,,,,,,,,'5','4',,,,,,,,,'3','6','6',,,,,,,,,,,,,,,'4',,,'2.9','7.1',,,,,,,,,'6','4','8',,,,,,,,,,,,,,,,'7',,,,,,,,'3','6',,,,,,,,,,,,,,,,,,,,,,,,'6','4','8',,,'3',,,,,,,,,,,,'4','3',,,,,,,,,,,,'6','8','5',,,,,,,'13',,
'73',,'nl',,'10-01-2012 09:27:34','10-01-2012 09:27:34','85.90.69.35','-','5','77',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'74','10-01-2012 10:03:05','nl',,'10-01-2012 10:03:05','10-01-2012 09:47:32','188.204.182.254','-','6','95',,,,,,'5','6.5','6',,,,,,,,,,,,,,,,,,,,,,,'6','5','6.5',,,,,'5',,,,,,,,,,,'7','5',,,,,,,,,,,'5','6.5','7',,,,,,,,,,'6.5',,,,,,,,'5','7',,,,,,,,,,,,,,,,,,,,,,,,'7.5','5.5','7.5',,,'5.5',,,,,,,,,,,,'6.5','6',,,,,,,,,,,,'5','7','6',,,,,,,'-oth-','epilepsie vereniging Nederland',
'75','11-01-2012 09:32:40','nl',,'11-01-2012 09:32:40','11-01-2012 09:15:00','212.104.214.35','-','7','87','1.4',,,,,,,,'5.7','8',,,,,,,,,,,,,,,,,,,,,,,,'6.8','1.4','8.7',,,'4.9',,,,,,,,,,,,'2.2','6.2',,,,,,,,,,,,'7.4','5.2','3.3',,,,,,,,'1.3',,,,,,,,,'2','3',,,,,,,'7.1','3.7','6.8',,,,,,,,,,,,,,,,,,,'6',,,,,,,,,,,,,'7.7','1.6',,,,,,,,,,,,,'3.4','5.4','8.1',,,,'6',,
'76','12-01-2012 10:29:10','nl',,'12-01-2012 10:29:10','12-01-2012 10:07:22','213.84.94.72','-','8','112',,'2.9',,,,,,,,,'2.6','7.1',,,,,,,'2.3','3.4','7.1',,,,,,,,,,,,,,,,,,,'3.1',,,,,,,,,,,,,'1.9','7',,,,,,,,,,,,,'3.1','3.1','6.9',,,,,'2.6',,,,,,,,,'7.8','3.5',,,,,,,'2.6','2.3','2.4',,,,,,,,,,,,,,,,,,,'1.4',,,,,,,,,,,,,'6.8','1',,,,,,,,,,,,,'2.4','1.8','3.3',,,,'7',,
'77','12-01-2012 15:52:30','nl',,'12-01-2012 15:52:30','12-01-2012 15:34:18','24.132.90.226','-','9','114',,,'3.5',,,,,,,,,,'7.5','2.5',,,,,,,,'2.5','7.5','8.5',,,,,,,,,,,,,,,,,'8.5',,'7','2.5',,,,,,,,,,,,,,,,,,,,,,,,,,'7.5','2.5','9',,'2',,,,,,,,,'5.5','5.5',,,,,,,'6.5','5.5','7.5',,,,,,,,,,,,,,,,,,,'2.5',,,,,,,,,,,,,'7.5','2.5',,,,,,,,,,,,,'2.5','6','8.5',,,,'13',,
'78','12-01-2012 16:12:48','nl',,'12-01-2012 16:12:48','12-01-2012 16:02:01','77.162.45.202','-','10','92',,,,'4',,,,,,,,,,,'6.5','7',,,,,,,,,'5','6','7',,,,,,,,,,,,,,,'6',,,'6.1','8',,,,,,,,,'5.5','6.1','8.5',,,,,,,,,,,,,,,,,'5',,,,,,,,,'6','5',,,,,,,'6.4','7.4','7.5',,,,,,,,,,,,,,,,,,,'6.5',,,,,,,,,,,,,'8','6',,,,,,,,,,,,,'4.5','5','7.5',,,,'6',,
'79','12-01-2012 19:50:15','nl',,'12-01-2012 19:50:15','12-01-2012 19:42:11','82.74.51.56','-','11','97',,,,,'6',,,,,,,,,,,,'2','8',,,,,,,,,,'6.5','6.5','2.4',,,,,,,'2.5',,,,,,,,,,'1.7','5.1',,,,,,,,,,'1.9','7','8.8',,,,,,,,,,,,,,'1.5',,,,,,,,,'6.9','3.6',,,,,,,'7.8','3.5','7.9',,,,,,,,,,,,,,,,,,,'5.5',,,,,,,,,,,,,'8','3',,,,,,,,,,,,,'2.6','5.3','8.4',,,,'13',,
'80','14-01-2012 22:15:11','nl',,'14-01-2012 22:15:11','14-01-2012 21:28:24','83.163.164.208','-','12','122',,,,,,'8.1','8','6',,,,,,,,,,,,,,,,,,,,,,,'7','7.6','6',,,,,'3.5',,,,,,,,,,,'5','7',,,,,,,,,,,'5','8','7',,,,,,,,,,,'7',,,,,,,,,'8','6.5',,,,,,,'8','7','6',,,,,,,,,,,,,,,,,,,'5',,,,,,,,,,,,,'8.3','6',,,,,,,,,,,,,'7','8','5',,,,'6',,
'81','15-01-2012 19:41:33','nl',,'15-01-2012 19:41:33','15-01-2012 19:23:17','82.95.90.89','-','1','117','2',,,,,,,,'4','5',,,,,,,,,,,,,,,,,,,,,,,,'4','3','7',,,'3',,,,,,,,,,,,'4','7',,,,,,,,,,,,'7','5','2',,,,,,,'6',,,,,,,,'4','6',,,,,,,,,,,,,,,,,,,,,,,,'6','3','7',,,'3',,,,,,,,,,,,'4','3',,,,,,,,,,,,'3','8','4',,,,,,,'8',,
'82','16-01-2012 13:01:46','nl',,'16-01-2012 13:01:46','16-01-2012 10:00:12','212.104.214.35','-','2','70',,'5.6',,,,,,,,,'6.3','6.5',,,,,,,'6.2','7','8',,,,,,,,,,,,,,,,,,,'6.5',,,,,,,,,,,,,'5.8','7.6',,,,,,,,,,,,,'6','6.7','7.5',,,,'6',,,,,,,,'6.3','6.9',,,,,,,,,,,,,,,,,,,,,,,,'6.6','6.1','7.4',,,'6.2',,,,,,,,,,,,'6','7.1',,,,,,,,,,,,'5.9','7.2','6.6',,,,,,,'-oth-','Vluchtelingenwerk',
'83','16-01-2012 15:26:03','nl',,'16-01-2012 15:26:03','16-01-2012 15:09:16','188.204.182.254','-','3','110',,,'4',,,,,,,,,,'7.2','4',,,,,,,,'5','7','6',,,,,,,,,,,,,,,,,'7.5',,'6.2','4.5',,,,,,,,,,,,,,,,,,,,,,,,,,'5','4','7.5','6',,,,,,,,'4','5.5',,,,,,,,,,,,,,,,,,,,,,,,'6','4','6.5',,,'4',,,,,,,,,,,,'5.5','5',,,,,,,,,,,,'4.5','7.8','5.5',,,,,,,'-oth-','Ronald Mc Donald Kinderfonds',
'84','17-01-2012 09:52:25','nl',,'17-01-2012 09:52:25','17-01-2012 09:42:04','85.90.69.35','-','4','79',,,,'3',,,,,,,,,,,'7','7',,,,,,,,,'2','7','9',,,,,,,,,,,,,,,'4',,,'7.5','9',,,,,,,,,'4','7.5','7.5',,,,,,,,,,,,,,,,'7',,,,,,,,'4','8',,,,,,,,,,,,,,,,,,,,,,,,'8','7','8',,,'3',,,,,,,,,,,,'7','7.5',,,,,,,,,,,,'7','8','8',,,,,,,'11',,
'85','19-01-2012 10:32:02','nl',,'19-01-2012 10:32:02','19-01-2012 10:16:18','131.224.251.104','-','5','126',,,,,'9',,,,,,,,,,,,'5.5','8.5',,,,,,,,,,'7.5','7','5',,,,,,,'5.5',,,,,,,,,,'5.5','7.5',,,,,,,,,,'5.5','7.5','8.5',,,,,,,,,,,,,'6.5',,,,,,,,'5.5','7',,,,,,,,,,,,,,,,,,,,,,,,'6.5','5','8',,,'5.5',,,,,,,,,,,,'7.5','6',,,,,,,,,,,,'6','8.5','7.5',,,,,,,'13',,
'86','20-01-2012 11:53:16','nl',,'20-01-2012 11:53:16','20-01-2012 11:29:04','82.157.128.94','-','6','81',,,,,,'6','5','6.5',,,,,,,,,,,,,,,,,,,,,,,'7','5.5','6.5',,,,,'7',,,,,,,,,,,'6','6',,,,,,,,,,,'5','6.5','7.5',,,,,,,,,,'7.5',,,,,,,,'7','7',,,,,,,,,,,,,,,,,,,,,,,,'6','6','7.5',,,'6.5',,,,,,,,,,,,'6','6.5',,,,,,,,,,,,'6.5','8','7',,,,,,,'9',,
'87','23-01-2012 11:15:59','nl',,'23-01-2012 11:15:59','23-01-2012 10:45:17','137.120.242.60','-','7','63','3.5',,,,,,,,'2.5','4',,,,,,,,,,,,,,,,,,,,,,,,'4.5','2.5','7.5',,,'4',,,,,,,,,,,,'5','7.5',,,,,,,,,,,,'7.5','4','3',,,,,,,,'4',,,,,,,,,'6.5','6.5',,,,,,,'6.5','7','8',,,,,,,,,,,,,,,,,,,'7.5',,,,,,,,,,,,,'6','4',,,,,,,,,,,,,'3.5','6','7.5',,,,'13',,
'88','23-01-2012 12:28:17','nl',,'23-01-2012 12:28:17','23-01-2012 12:09:29','92.67.145.138','-','8','99',,'5',,,,,,,,,'2','7',,,,,,,'6','8','7.5',,,,,,,,,,,,,,,,,,,'4',,,,,,,,,,,,,'2','8.5',,,,,,,,,,,,,'3','6.6','7.6',,,,,'4',,,,,,,,,'6.5','5',,,,,,,'7.3','5.5','6.7',,,,,,,,,,,,,,,,,,,'5',,,,,,,,,,,,,'7.4','4.5',,,,,,,,,,,,,'5.2','6.5','8',,,,'-oth-','RutgersWPF',
'89','24-01-2012 17:33:01','nl',,'24-01-2012 17:33:01','24-01-2012 16:37:23','86.93.180.84','-','9','127',,,'3',,,,,,,,,,'2.6','5.4',,,,,,,,'1.9','2.1','7.2',,,,,,,,,,,,,,,,,'7.7',,'7.1','7',,,,,,,,,,,,,,,,,,,,,,,,,,'9','6.6','7.9',,'3',,,,,,,,,'3','7.8',,,,,,,'9.3','7.4','5.6',,,,,,,,,,,,,,,,,,,'2.2',,,,,,,,,,,,,'8.2','3.7',,,,,,,,,,,,,'2.5','7.1','7.2',,,,'2',,
'90','25-01-2012 10:12:12','nl',,'25-01-2012 10:12:12','25-01-2012 09:56:08','80.79.101.100','-','10','125',,,,'4',,,,,,,,,,,'6','7',,,,,,,,,'6','7','8',,,,,,,,,,,,,,,'4',,,'6','8',,,,,,,,,'5','7','8',,,,,,,,,,,,,,,,,'5',,,,,,,,,'5.5','5.5',,,,,,,'9','8','7',,,,,,,,,,,,,,,,,,,'6.5',,,,,,,,,,,,,'8','6.5',,,,,,,,,,,,,'5','6','9',,,,'8',,
'91','27-01-2012 14:08:15','nl',,'27-01-2012 14:08:15','27-01-2012 13:56:47','86.91.171.47','-','11','100',,,,,'7.5',,,,,,,,,,,,'4','7',,,,,,,,,,'7','6.5','4',,,,,,,'6',,,,,,,,,,'4','7',,,,,,,,,,'5','6.5','7.5',,,,,,,,,,,,,,'5',,,,,,,,,'7.5','3',,,,,,,'8','7','6',,,,,,,,,,,,,,,,,,,'6.5',,,,,,,,,,,,,'7','4.5',,,,,,,,,,,,,'5','5','6',,,,'11',,
'92','02-02-2012 17:56:36','nl',,'02-02-2012 17:56:36','02-02-2012 17:35:51','213.93.238.84','-','12','130',,,,,,'6','6.1','4.8',,,,,,,,,,,,,,,,,,,,,,,'4','5.4','6.5',,,,,'4.5',,,,,,,,,,,'6.3','4.9',,,,,,,,,,,'5.9','4','5.9',,,,,,,,,,,'4.1',,,,,,,,,'5.4','4.3',,,,,,,'7.8','6.5','7.5',,,,,,,,,,,,,,,,,,,'4.4',,,,,,,,,,,,,'5.1','4.2',,,,,,,,,,,,,'6.1','5','7.4',,,,'6',,
'93','02-02-2012 20:47:37','nl',,'02-02-2012 20:47:37','02-02-2012 20:35:56','94.209.50.0','-','1','132','4.9',,,,,,,,'4.7','6.8',,,,,,,,,,,,,,,,,,,,,,,,'4.2','5.6','7.7',,,'6.9',,,,,,,,,,,,'5.1','7.3',,,,,,,,,,,,'6.3','4.7','7.3',,,,,,,'6.8',,,,,,,,'5.3','7.1',,,,,,,,,,,,,,,,,,,,,,,,'4.6','4.5','6.8',,,'6.8',,,,,,,,,,,,'4.2','6.8',,,,,,,,,,,,'5.9','7.3','6.3',,,,,,,'8',,
'94','07-02-2012 20:43:46','nl',,'07-02-2012 20:43:46','07-02-2012 20:37:45','80.56.205.17','-','2','133',,'5.5',,,,,,,,,'5','6.5',,,,,,,'5','5','7',,,,,,,,,,,,,,,,,,,'5.1',,,,,,,,,,,,,'5','7',,,,,,,,,,,,,'5','7','7',,,,'6',,,,,,,,'5','6',,,,,,,,,,,,,,,,,,,,,,,,'6.1','5','7',,,'5',,,,,,,,,,,,'5','5',,,,,,,,,,,,'5','7','5',,,,,,,'8',,
'95','13-02-2012 10:57:59','nl',,'13-02-2012 10:57:59','13-02-2012 10:47:26','85.90.69.35','-','15','129',,,'5.2',,,,,,,,,,'7.4','5.3',,,,,,,,'5.3','6.6','8.2',,,,,,,,,,,,,,,,,'6.8',,'6.2','7',,,,,,,,,,,,,,,,,,,,,,,,,,'6.2','5','7.8',,,'5.3',,,,,,,,,,'6.4','7.7',,,,,,,,'5.4','6.5','7.2',,,,,,,,,,,,,,,,,'5.9',,'6.8','7.2',,,,,,,,,,,,,,,,,,,,,,,,,,'7','5.9','8','11',,
'96','13-02-2012 15:50:36','nl',,'13-02-2012 15:50:36','13-02-2012 15:35:10','81.204.149.67','-','16','139',,,,'3.3',,,,,,,,,,,'5','6',,,,,,,,,'2','7','7.5',,,,,,,,,,,,,,,'3.5',,,'7','8',,,,,,,,,'2','5','8.5',,,,,,,,,,,,,,,,,,'2',,,,,,,,,,'7','7',,,,,,,,'2','7','8.5',,,,,,,,,,,,,,,,,'3',,'7','6',,,,,,,,,,,,,,,,,,,,,,,,,,'7.5','3','8.5','13',,
'97','17-02-2012 08:38:17','nl',,'17-02-2012 08:38:17','17-02-2012 08:28:22','24.132.112.160','-','17','145',,,,,'6.5',,,,,,,,,,,,'2','7.5',,,,,,,,,,'6','5.5','2',,,,,,,'5',,,,,,,,,,'5','5.5',,,,,,,,,,'4','5.5','8',,,,,,,,,,,,,,,'6',,,,,,,,,,'5.5','7',,,,,,,,'4','5','8',,,,,,,,,,,,,,,,,'2',,'7.5','6',,,,,,,,,,,,,,,,,,,,,,,,,,'6','4','8','3',,
'98','17-02-2012 17:46:51','nl',,'17-02-2012 17:46:51','17-02-2012 17:39:32','86.81.96.108','-','18','138',,,,,,'1.8','6.6','3.6',,,,,,,,,,,,,,,,,,,,,,,'1','5','10',,,,,'5.9',,,,,,,,,,,'7.6','2.7',,,,,,,,,,,'1','6.1','7',,,,,,,,,,,,'1',,,,,,,,,,'3.4','7.4',,,,,,,,'1','7.9','7.9',,,,,,,,,,,,,,,,,'1.1',,'6.5','7.7',,,,,,,,,,,,,,,,,,,,,,,,,,'6.4','1','10','13',,
'99','19-02-2012 13:08:49','nl',,'19-02-2012 13:08:49','19-02-2012 12:54:25','94.214.161.129','-','19','147','7.5',,,,,,,,'6.2','7',,,,,,,,,,,,,,,,,,,,,,,,'7.3','6.5','8.3',,,'7',,,,,,,,,,,,'6.6','8.1',,,,,,,,,,,,'6.2','7.1','7.4',,,,,,,,,,'6.8',,,,,,,,,,,'6.6','7.5',,,,,,,,,'7.3','6','5.8',,,,,,,,,,,,,,,'6.6',,,'7','6.5',,,,,,,,,'7.3','7','5.9',,,,,,,,,,,,,,,,'11',,
'100','20-02-2012 15:22:16','nl',,'20-02-2012 15:22:16','20-02-2012 15:06:53','85.119.104.67','-','20','150',,'1',,,,,,,,,'1.3','4.8',,,,,,,'7.7','1.5','8.2',,,,,,,,,,,,,,,,,,,'1.4',,,,,,,,,,,,,'1.8','6.6',,,,,,,,,,,,,'2','4.2','7.9',,,,,,,'3.9',,,,,,,,,,,'3.5','1',,,,,,,,,'3.5','1.1','7.8',,,,,,,,,,,,,,,'1',,,'2','6.5',,,,,,,,,'6.9','2.3','7',,,,,,,,,,,,,,,,'6',,
'101','20-02-2012 16:49:22','nl',,'20-02-2012 16:49:22','20-02-2012 16:40:29','95.96.64.94','-','21','143',,,'7.1',,,,,,,,,,'7','4.1',,,,,,,,'4.3','6.3','8',,,,,,,,,,,,,,,,,'4.3',,'5.1','5',,,,,,,,,,,,,,,,,,,,,,,,,,'8','4.9','8.1',,,,'7.1',,,,,,,,,,,'6.3','7.1',,,,,,,,,'7','5.4','8',,,,,,,,,,,,,,,'8.1',,,'5.5','7.5',,,,,,,,,'7.1','6.1','8.4',,,,,,,,,,,,,,,,'8',,
'102','20-02-2012 17:15:20','nl',,'20-02-2012 17:15:20','20-02-2012 16:57:27','130.37.210.210','-','22','137',,,,'5.1',,,,,,,,,,,'6','6',,,,,,,,,'6','6.5','7',,,,,,,,,,,,,,,'5',,,'5.6','6.5',,,,,,,,,'6.2','5.6','7.5',,,,,,,,,,,,,,,,,,,'7.5',,,,,,,,,,,'6','6.5',,,,,,,,,'5.6','6','7.5',,,,,,,,,,,,,,,'6',,,'5.8','6.3',,,,,,,,,'7.5','6','7.5',,,,,,,,,,,,,,,,'-oth-','Milieudefensie',
'103','22-02-2012 10:49:53','nl',,'22-02-2012 10:49:53','22-02-2012 10:24:40','80.112.194.236','-','23','141',,,,,'7.5',,,,,,,,,,,,'2.4','8.4',,,,,,,,,,'7.6','5.9','3.5',,,,,,,'3.9',,,,,,,,,,'3.7','6.3',,,,,,,,,,'3.3','6.1','8.1',,,,,,,,,,,,,,,,'4.8',,,,,,,,,,,'6.5','5.1',,,,,,,,,'6.1','4.1','7.1',,,,,,,,,,,,,,,'4.5',,,'6','7.1',,,,,,,,,'7.2','4.4','9.2',,,,,,,,,,,,,,,,'-oth-','VSO Nederland',
'104','22-02-2012 11:25:45','nl',,'22-02-2012 11:25:45','22-02-2012 11:15:24','62.12.7.37','-','24','136',,,,,,'1','10','1',,,,,,,,,,,,,,,,,,,,,,,'3','1','8.4',,,,,'1',,,,,,,,,,,'10','1',,,,,,,,,,,'1','6','8.7',,,,,,,,,,,,,'4.9',,,,,,,,,,,'4.5','1.1',,,,,,,,,'8.9','1','10',,,,,,,,,,,,,,,'1',,,'1','8.8',,,,,,,,,'7.9','2.3','7.9',,,,,,,,,,,,,,,,'1',,
'105','22-02-2012 15:10:35','nl',,'22-02-2012 15:10:35','22-02-2012 14:55:10','85.119.104.67','-','25','146','7',,,,,,,,'3','7.5',,,,,,,,,,,,,,,,,,,,,,,,'5.6','3','7.5',,,'3.5',,,,,,,,,,,,'7','3.2',,,,,,,,,,,,'7','6','2.7',,,,,,,,,,,'2.1',,,,,,,,,,,,'7.1','3.1',,,,,,,,,,'2.4','7.2','6.2',,,,,,,'5.9',,,,,,,,,,'6','3.5',,,,,,,,,,'3.1','6.6','6.8',,,,,,,,,,,,,'6',,
'106','22-02-2012 16:35:58','nl',,'22-02-2012 16:35:58','22-02-2012 16:15:53','85.119.104.67','-','26','155',,'8.5',,,,,,,,,'6.3','8',,,,,,,'7.4','7.6','8.1',,,,,,,,,,,,,,,,,,,'5.1',,,,,,,,,,,,,'6.8','8.3',,,,,,,,,,,,,'6.3','7.4','7.6',,,,,,,,'6.2',,,,,,,,,,,,'8.3','6.1',,,,,,,,,,'6.5','8.3','7.4',,,,,,,'7',,,,,,,,,,'8','7.2',,,,,,,,,,'6.3','8.3','7.2',,,,,,,,,,,,,'11',,
'107','23-02-2012 09:58:10','nl',,'23-02-2012 09:58:10','23-02-2012 09:17:46','194.121.12.73','-','27','152',,,'6',,,,,,,,,,'6.5','6.5',,,,,,,,'7','8','8.5',,,,,,,,,,,,,,,,,'8',,'6','4',,,,,,,,,,,,,,,,,,,,,,,,,,'5.5','6','9',,,,,'5.5',,,,,,,,,,,,'5.5','6',,,,,,,,,,'6','7.5','6',,,,,,,'6',,,,,,,,,,'6.5','6',,,,,,,,,,'6.5','6.5','7.5',,,,,,,,,,,,,'6',,
'108','23-02-2012 12:19:48','nl',,'23-02-2012 12:19:48','23-02-2012 11:57:32','80.112.194.236','-','28','142',,,,'3.1',,,,,,,,,,,'4.4','3.5',,,,,,,,,'3.2','5','7.6',,,,,,,,,,,,,,,'4.1',,,'3.5','5.6',,,,,,,,,'5.7','5.8','7.5',,,,,,,,,,,,,,,,,,,,'2.9',,,,,,,,,,,,'7.4','3.4',,,,,,,,,,'3.7','7.1','5.6',,,,,,,'6',,,,,,,,,,'5.6','3',,,,,,,,,,'3.1','5.9','7',,,,,,,,,,,,,'6',,
'109','27-02-2012 11:22:09','nl',,'27-02-2012 11:22:09','27-02-2012 11:13:26','80.112.194.236','-','29','151',,,,,'8.4',,,,,,,,,,,,'2.8','8.4',,,,,,,,,,'9.1','8','2',,,,,,,'4.3',,,,,,,,,,'2.7','8.7',,,,,,,,,,'2.6','6.3','9.2',,,,,,,,,,,,,,,,,'3.5',,,,,,,,,,,,'8.8','2.7',,,,,,,,,,'4.2','9.6','9.6',,,,,,,'7.8',,,,,,,,,,'2.2','9',,,,,,,,,,'3.8','8.7','10',,,,,,,,,,,,,'6',,
